grade,level,section,sub_section
학부,0,DS,DA
석사,0,ML,CV
석사,4,ML,NLP
학사,0,ML,NLP
석사,0,ML,AI
학사,0,DS,DS
학사,2,DS,DA
석사,0,ML,AI
석사,0,ML,AI
석사,3,DS,DS
석사,3,ML,AI
석사,3,ML,CV
석사,4,DS,DA
석사,5,ML,AI
학부,0,DS,DA
학부,0,DS,DA
학부,0,ML,AI
학부,0,ML,AI
학부,0,ML,AI
학부,0,ML,AI
학부,0,ML,AI
학부,0,ML,AI
학부,0,ML,AI
학부,0,ML,AI
학부,3,DS,DA
학부,0,ML,AI
학부,0,ML,AI
학부,0,DS,DS
학사,0,DS,DA
학사,0,DS,DA
학사,0,DS,DA
학사,0,DS,DA
학사,0,ML,AI
학사,0,ML,AI
학사,0,ML,CV
석사,0,DS,DS
석사,0,DS,DA
석사,0,DS,DA
석사,0,ML,AI
석사,0,ML,AI
석사,0,ML,CV
석사,0,ML,LLM
석사,0,DS,DA
석사,3,ML,AI
석사,9,ML,CV
학부,0,X,X
학부,0,DS,DA
학부,0,ML,AI
학부,0,ML,AI
학부,0,ML,AI
학부,0,ML,AI
학부,0,ML,AI
학부,0,ML,AI
학사,0,DS,DA
학사,0,ML,CV
학사,0,ML,AI
학사,2,DS,DA
학사,9,ML,ML
석사,3,ML,AI
학부,0,ML,AI
학부,0,DS,DA
학사,0,ML,AI
학사,0,ML,AI
석사,4,ML,AI
학부,0,DS,DA
석사,0,DS,DA
학사,0,ML,AI
학사,0,DS,DA
학사,0,ML,AI
학부,0,ML,AI
석사,1,DS,DS
석사,7,ML,AI
학부,4,DS,DA
석사,2,ML,LLM
학사,1,ML,LLM
학사,0,DS,DA
석사,0,ML,AI
학부,0,DS,ECommerce
석사,0,DS,DA
석사,2,ML,AI
석사,0,DS,DA
학부,0,ML,AI
학부,0,ML,AI
학사,0,ML,PIN
학부,0,ML,AI
학사,7,DS,DS
학사,0,DS,DA
석사,0,ML,AI
학부,0,ML,AI
석사,1,DS,DA
학사,1,ML,AI
학부,0,DS,DS
석사,1,ML,DL
석사,0,DS,DA
학사,2,ML,MLOPS
학부,0,X,X
학사,0,DS,DA
학사,0,ML,AI
석사,1,ML,AI
학부,0,DS,DA
학부,0,DS,DA
학부,0,ML,AI
학사,0,DS,DA
학사,0,DS,DA
학사,0,ML,AI
학사,0,ML,ML
학사,0,DS,DA
학사,0,DS,DA
학사,0,ML,AI
석사,8,ML,CV
학부,0,DE,DSP
학사,0,ML,CV
석사,0,DS,DA
학사,0,DS,DS
학부,0,DS,DA
학부,0,ML,AI
학사,0,ML,ADAS
학사,1,ML,AI
석사,0,ML,CV
학사,0,DS,DS
석사,0,ML,MLP
석사,15,ML,CV
학사,0,DS,DA
석사,0,ML,AI
학사,0,DS,DA
학사,0,ML,ML
석사,3,DS,DS
석사,0,ML,CV
학사,0,DS,DA
학사,0,DS,DS
학부,0,DS,DA
석사,0,ML,CV
학부,0,ML,CV
학부,0,ML,AI
학부,0,ML,AI
학부,0,X,X
석사,0,ML,AI
학사,1,ML,LLM
학사,0,ML,AI
학부,0,ML,AI
석사,0,ML,AI
석사,0,ML,AI
학사,0,ML,AI
학사,0,DS,DA
학사,0,DS,DA
석사,0,DS,DA
학부,0,ML,AI
학부,0,DS,DA
학사,0,DS,DS
학사,0,ML,AI
석사,3,DS,DA
학사,0,ML,AI
석사,0,DS,DA
학사,0,DS,DA
학사,0,ML,AI
학사,0,ML,NLP
석사,0,ML,CV
석사,0,DS,DS
석사,0,DS,DS
학부,0,ML,DL
학부,0,DS,DA
석사,2,DS,DA
학부,0,DS,DA
학사,0,DS,DA
학사,0,DS,DA
석사,0,ML,CV
학사,0,DS,DA
석사,1,ML,AI
학사,0,ML,CV
학부,0,ML,AI
석사,4,ML,AI
석사,0,ML,CV
석사,0,DS,DS
석사,1,ML,MLOPS
학사,0,DS,AE
석사,0,ML,AI
학부,0,DS,DA
학사,0,DS,DA
석사,0,DS,DA
학부,0,DS,DA
학부,0,ML,NLP
석사,0,ML,AI
학부,0,DS,DA
학부,0,ML,AI
학사,0,ML,AI
학사,0,ML,AI
학사,0,ML,AI
석사,0,DS,DA
석사,0,ML,AI
학부,0,DS,DA
학부,0,ML,AI
학사,0,ML,AI
학사,0,DS,DS
학사,0,DS,DA
학사,0,ML,AI
학사,0,ML,AI
학사,0,DS,DS
학사,0,DS,DA
학사,0,ML,AI
학사,0,DS,DA
학부,0,ML,AI
석사,0,DS,DA
학사,5,ML,AI
학사,3,DS,DA
석사,3,DS,DS
학사,0,ML,AI
학부,0,ML,AI
학사,0,ML,AI
학부,0,ML,CV
학부,0,DS,DA
학부,0,DS,DS
학사,0,DS,DA
학사,0,ML,AI
석사,0,ML,CV
학사,0,DS,DA
학사,1,ML,LLM
학사,0,ML,CV
학사,0,DS,DA
석사,3,ML,AI
학부,0,ML,AI
학부,0,DE,DE
학사,0,ML,MLP
학사,0,ML,CV
석사,0,DS,DA
학부,0,DS,DS
석사,0,DS,DS
학부,0,ML,AI
석사,0,DS,DA
학부,0,ML,CV
학사,0,ML,AI
석사,0,ML,AI
학부,0,ML,AI
학부,0,ML,AI
학사,0,DS,DA
학사,0,ML,AI
학부,0,ML,AI
학사,5,DS,DA
학사,0,ML,AI
학사,0,DS,DA
학부,0,ML,AI
학사,0,ML,MLP
학사,0,DS,DA
석사,2,ML,ML
학사,2,DS,DA
학사,0,ML,AI
석사,0,ML,AI
학사,0,ML,CV
학사,0,DS,DS
학사,0,ML,CV
학사,0,ML,AE
석사,0,ML,AI
학부,0,ML,AI
석사,0,ML,AI
학부,0,DS,DA
학부,0,ML,AI
석사,0,ML,AI
학사,0,DS,DS
학사,0,ML,AI
학부,0,DS,DA
학사,0,ML,AI
학사,0,ML,AI
석사,0,DS,DA
석사,0,ML,AI
학부,0,ML,AI
학부,0,DS,DA
학사,0,DS,DS
학사,3,DS,DA
학사,0,ML,AI
학사,0,DS,DA
학사,0,ML,CV
학사,0,ML,AI
학부,0,DS,DS
학사,3,DS,DS
석사,0,ML,AI
석사,4,ML,AI
학부,0,ML,CV
학사,0,DS,DA
석사,0,ML,CV
석사,2,ML,RL
학부,0,DE,DE
학부,0,DS,DA
학사,0,ML,NLP
학사,0,ML,CV
학부,0,ML,AI
학사,0,ML,AI
석사,0,ML,DL
학부,0,ML,AI
석사,2,ML,AI
석사,0,ML,CV
학사,0,DS,DA
석사,0,DS,DS
학사,0,DS,DA
석사,0,DS,DS
석사,0,ML,AI
석사,4,ML,AI
학부,0,DS,DA
학부,0,ML,CV
학사,0,DS,DA
학사,0,DS,DS
학사,0,DS,DA
학사,0,ML,NLP
학사,0,ML,AI
학사,1,DS,DA
석사,0,ML,AI
학사,1,ML,AI
학사,0,DS,DS
학사,2,ML,CV
학부,0,X,X
학부,0,ML,AI
학사,0,ML,CV
석사,0,DS,DA
학부,0,DS,DA
학부,0,ML,AI
석사,0,ML,AI
학사,0,ML,AI
학부,0,ML,NLP
석사,0,ML,CV
학부,1,ML,CV
석사,10,DE,SEVER
학부,0,ML,CV
학부,0,DS,DA
석사,0,DS,embedded
석사,0,ML,AI
학사,0,ML,AI
학사,4,ML,AI
학부,0,DS,DA
학사,0,ML,NLP
학사,0,DS,DA
학사,1,ML,LLM
학사,0,DE,DE
석사,4,ML,NLP
박사,0,ML,AI
석사,0,ML,AI
학부,0,ML,AI
학부,0,ML,AI
학사,0,ML,AI
학사,0,ML,AI
학사,0,ML,AI
학사,0,ML,AI
석사,1,ML,AI
학부,0,DS,DA
학사,0,ML,LLM
학사,0,ML,AI
학사,0,DS,DA
석사,1,ML,CV
석사,0,ML,AI
석사,0,ML,AI
학사,3,ML,AI
석사,3,ML,AI
학부,0,ML,AI
학사,0,DS,DS
학부,0,ML,CV
학사,0,DS,DA
학사,0,ML,NLP
학부,0,ML,AI
학부,0,ML,LLM
학부,0,ML,AI
학사,1,DE,DE
학부,0,DE,DE
학사,2,ML,LLM
석사,0,ML,AI
학사,0,ML,AI
학사,0,ML,AI
석사,2,ML,AI
학부,0,DS,DA
학사,0,DS,DA
학사,0,ML,AI
학부,0,ML,ML
학사,0,ML,AI
학사,0,ML,AI
학사,0,DS,DA
학사,3,ML,CV
학부,0,DE,DE
학사,1,ML,AI
석사,0,DS,DA
학사,0,ML,ML
석사,0,ML,CV
석사,0,ML,AI
학사,0,DS,DA
학부,0,ML,LLM
학사,1,ML,AI
석사,0,ML,AI
석사,0,ML,AI
학부,0,ML,AI
석사,0,ML,AI
석사,0,ML,AI
학사,0,ML,AI
석사,1,ML,AI
학사,0,DS,DA
학부,0,DS,DS
석사,0,ML,NLP
학부,0,ML,AI
석사,0,ML,LLM
학부,0,ML,AI
학부,0,DS,DA
석사,0,DS,DA
석사,0,ML,DL
석사,0,ML,AI
석사,0,ML,AI
학부,0,DS,DA
학부,0,DS,DA
학사,0,ML,AI
학사,0,ML,AI
학사,0,ML,AI
학사,0,ML,ML
학사,3,ML,AI
학사,0,ML,AI
학부,1,ML,MLOPS
학사,0,DS,DA
학사,0,DS,DA
석사,0,ML,AI
학사,0,DE,DE
학부,0,ML,AI
학사,0,DS,DA
석사,1,ML,AI
석사,3,DS,DS
학사,0,DS,DA
박사,0,ML,CV
석사,0,ML,NLP
석사,3,ML,NLP
학부,0,DS,DS
학사,0,DS,DA
학사,0,DS,DA
학사,4,ML,CV
학부,0,ML,AI
학사,0,ML,AI
학사,0,ML,AI
학사,0,ML,AI
학사,0,DS,DA
학부,0,DS,DA
석사,0,ML,CV
학사,0,DE,DE
학사,0,ML,CV
학사,0,DS,DA
학사,2,ML,AI
학사,0,ML,AI
석사,0,ML,NLP
학부,0,X,X
학부,0,ML,AI
학사,0,ML,AI
석사,0,ML,AI
학부,0,ML,AI
학사,0,DS,DA
석사,0,ML,CV
석사,0,ML,AI
학부,0,ML,ML
석사,3,ML,AI
석사,1,DS,DS
학부,0,ML,AI
학부,0,DS,DS
석사,0,ML,AI
학부,0,DS,DS
학사,1,ML,QA
학부,0,ML,AI
학사,0,ML,NLP
학사,0,ML,AI
학사,0,ML,AI
석사,0,ML,CV
학부,0,DS,DA
석사,0,ML,AI
학사,0,DS,DA
학사,0,ML,AI
학사,0,ML,NLP
학사,2,DS,DA
전문학사,1,ML,AI
석사,3,ML,AI
석사,0,ML,AI
학부,0,ML,LLM
석사,0,ML,AI
학사,1,ML,AI
학사,1,ML,LLM
학부,0,DS,DA
학부,0,ML,ADAS
학사,4,ML,AI
학사,0,DS,DA
학부,0,ML,CV
학사,2,ML,AI
학부,0,DS,DA
학부,0,ML,CV
석사,1,ML,AI
학사,0,ML,AI
학부,0,DS,DA
학부,0,DE,DE
학사,0,DS,DA
학사,0,ML,AI
석사,0,ML,AI
학사,3,ML,AI
석사,0,DS,DA
석사,1,ML,AI
학사,0,ML,ML
학사,0,ML,AI
석사,0,DE,DE
학사,0,DS,DA
박사,2,DS,DS
석사,0,ML,AI
학부,0,DS,DA
학사,0,ML,CV
학부,0,ML,AI
학부,0,ML,AI
석사,3,DS,DS
학부,0,ML,LLM
학사,0,ML,AI
석사,2,ML,LLM
석사,0,ML,NLP
학사,2,ML,AI
학부,0,ML,AI
석사,0,ML,CV
석사,1,DS,DS
학사,0,DS,DA
석사,0,ML,NLP
학사,0,DS,DA
학부,1,DS,DA
석사,2,ML,AI
학사,0,X,X
학사,0,ML,AI
석사,0,ML,AI
학사,0,DS,DA
학사,0,ML,CV
학부,0,DS,da
학사,0,DS,DA
학부,0,ML,AI
학부,0,ML,AI
학부,0,DS,DA
학사,0,ML,AI
석사,0,DS,DS
석사,0,ML,ML
학부,0,DS,DA
학사,4,DS,FINE
학부,0,DS,DS
학사,7,DE,SEVER
학사,0,DS,DA
학부,0,ML,AI
석사,0,ML,RL
석사,3,ML,NLP
학부,0,ML,CV
학부,0,ML,LLM
학부,0,ML,AI
학부,0,ML,AI
석사,0,ML,CV
학사,0,DS,DA
학부,0,DS,DA
학사,1,ML,AI
석사,0,ML,AI
학부,0,DS,DA
