title,company_name,need_level,need_grade,region,employ_type,rank,pay,section
캐롯손해보험㈜,부문별 경력직 대규모 채용,경력1년↑,학력무관,정규직,,,,DE
우리에프아이에스㈜,2024년 경력사원 채용 공고,경력3년↑,학력무관,마포구,정규직,,,DE
㈜바이오컴,[AI 헬스케어] 개발/기획/마케팅/회계/변호사 인재영입,경력3년↑,학력무관,강서구,정규직,,,DE
한국유미코아배터리머티리얼즈 유한책임회사,한국유미코아 배터리머티리얼즈 하반기 각 부문별 채용,신입·경력,대졸↑,전지역,정규직,,,DE
㈜팬코,각 부문별 신입 및 경력사원 채용,신입·경력,학력무관,성동구,정규직,,,DE
㈜연합인포맥스,연합인포맥스 금융공학연구소 신입/경력 사원 모집,신입·경력,학력무관,종로구,정규직,,,DE
에스케이엠앤서비스㈜,DBA 담당 경력 구성원 영입,경력2년↑,대졸↑,중구,정규직,,,DE
잡코리아(유),[잡코리아] 데이터 엔지니어 (3년 이상),경력3년↑,학력무관,서초구,정규직,,,DE
㈜헥토이노베이션,"헥토이노베이션 직군별 채용 (서비스기획,정보보안,영업,영업지원,광고기획,서비스개발,개발,UI/UX,MD)",경력,학력무관,강남구,정규직,,,DE
주식회사 빗썸,2024 빗썸 전직군 채용,경력무관,학력무관,강남구,정규직,,,DE
(주)우아한형제들,각 부문별 경력/신입 인재영입,신입·경력,학력무관,송파구,정규직,,,DE
더리본㈜,더리본㈜ 각 부문 경력 채용(인사총무팀/고객관리업무/여행팀),경력5년↑,초대졸↑,성동구,정규직,,,DE
㈜위앤유텍,빅데이터 솔루션 (Elastic) 엔지니어,경력무관,학력무관,송파구,정규직,,,DE
㈜이노케어플러스,데이터 엔지니어,경력3년↑,학력무관,서초구,정규직,,"4,000~8,000만원",DE
루덴시티㈜,[경력] Data Engineer,경력3년↑,초대졸↑,강남구,정규직,,,DE
콜로세움코퍼레이션,[Engineering] 데이터 분석가,경력3년↑,대졸↑,강남구,정규직,,,DE
루덴시티㈜,[신입] Data Engineer,신입,초대졸↑,강남구,정규직,,,DE
㈜엑심베이,Data Engineer(신입/경력),경력,학력무관,구로구,정규직,,,DE
빅웨이브로보틱스㈜,Data Platform Engineer,경력3년↑,대졸↑,강남구,정규직,,,DE
㈜메타넷티플랫폼,Data Engineer/DBA 경력,경력5년↑,초대졸↑,강남구,정규직,,,DE
메디웨일,데이터 엔지니어,경력5년↑,학력무관,강남구,정규직,,,DE
㈜레디포,플랜트 시뮬레이션 tool 사용 개발자,경력1년↑,학력무관,강서구,정규직,,"6,000~10,000만원",DE
주식회사 더 스윙,데이터 애널리틱 엔지니어,경력3년↑,학력무관,용산구,정규직,,,DE
㈜비스텔리젼스,IoT Specialist,경력5년↑,초대졸↑,서초구,정규직,,,DE
필라넷,AI엔지니어,경력3년↑,대졸↑,강남구,정규직,,,DE
㈜세종교육,"[IT취업률100프로]무료 취준생모집(국내/일본, 수도권무료숙식 제공/비전공자 가능) 국비무료교육 취업준비",신입·경력,학력무관,강남구,연수생/교육생,,,DE
엠비씨(MBC)아카데미 컴퓨터교육센터,"[서울/경기] 수강료 0원 무료 취업교육생 과정모집(인공지능AI,빅데이터,풀스택,웹디자인,게임,메타버스)",신입·경력,고졸↑,관악구,연수생/교육생,,,DE
휴먼교육센터,[국비무료/기숙사무료] 파이썬/데이터분석/인공지능/풀스택(무료숙식제공),신입·경력,학력무관,영등포구,연수생/교육생,,,DE
대한상공회의소 서울기술교육센터,"반도체설계/검증 엔지니어, AI시스템반도체 SW개발자 교육생 모집",경력무관,초대졸↑,강서구,연수생/교육생,,,DE
kt ds University,풀스택 웹 애플리케이션 개발 전문가 양성과정,경력무관,초대졸↑,서초구,연수생/교육생,,,DE
한국ICT인재개발원,[국비무료IT취업교육]JAVA웹앱/프론트엔드/백엔드/풀스택/빅데이터/인공지능 외 자바개발자취업교육과정/준,신입·경력,고졸↑,연수생/교육생,,,,DE
㈜미래엔,데이터 엔지니어 채용,경력,서초구,정규직,,,,DE
㈜빅밸류,[빅밸류] Data Architect 모집,경력무관,학력무관,중구,정규직,사원급,,DE
㈜팬코,IT 프로그램 개발/관리 경력사원 채용,경력2년↑,학력무관,성동구,정규직,,,DE
동국시스템즈㈜,[동국시스템즈] 빅데이터 / 클라우드 솔루션개발 및 기술지원 (채용),경력3년↑,대졸↑,중구,정규직,사원급,,DE
㈜인라이플,[주4.5일근무] 데이터 분석 및 기획자 채용,경력2년↑,학력무관,구로구,정규직,,,DE
아남전자㈜,아남전자(주) 시스템 및 전산관리 담당자 모집,경력10년↑,대졸↑,구로구,정규직,,,DE
㈜토마토시스템,[(주)토마토시스템] AI데이터 분석 부문 채용(경력),경력3년↑,대졸↑,강남구,정규직,,,DE
㈜아이마켓코리아,인프라 운영 및 구축 담당 채용,경력3년↑,대졸↑,강남구,정규직,,,DE
㈜피엠그로우,[피엠그로우] 데이터 사이언티스트 채용 (전기차 배터리),경력5년↑,대졸↑,서초구,정규직,팀원,,DE
캐롯손해보험㈜,부문별 경력직 대규모 채용,경력1년↑,학력무관,정규직,,,,DE
우리에프아이에스㈜,2024년 경력사원 채용 공고,경력3년↑,학력무관,마포구,정규직,,,DE
㈜바이오컴,[AI 헬스케어] 개발/기획/마케팅/회계/변호사 인재영입,경력3년↑,학력무관,강서구,정규직,,,DE
한국유미코아배터리머티리얼즈 유한책임회사,한국유미코아 배터리머티리얼즈 하반기 각 부문별 채용,신입·경력,대졸↑,전지역,정규직,,,DE
㈜팬코,각 부문별 신입 및 경력사원 채용,신입·경력,학력무관,성동구,정규직,,,DE
㈜연합인포맥스,연합인포맥스 금융공학연구소 신입/경력 사원 모집,신입·경력,학력무관,종로구,정규직,,,DE
에스케이엠앤서비스㈜,DBA 담당 경력 구성원 영입,경력2년↑,대졸↑,중구,정규직,,,DE
잡코리아(유),[잡코리아] 데이터 엔지니어 (3년 이상),경력3년↑,학력무관,서초구,정규직,,,DE
㈜헥토이노베이션,"헥토이노베이션 직군별 채용 (서비스기획,정보보안,영업,영업지원,광고기획,서비스개발,개발,UI/UX,MD)",경력,학력무관,강남구,정규직,,,DE
주식회사 빗썸,2024 빗썸 전직군 채용,경력무관,학력무관,강남구,정규직,,,DE
(주)우아한형제들,각 부문별 경력/신입 인재영입,신입·경력,학력무관,송파구,정규직,,,DE
더리본㈜,더리본㈜ 각 부문 경력 채용(인사총무팀/고객관리업무/여행팀),경력5년↑,초대졸↑,성동구,정규직,,,DE
㈜위앤유텍,빅데이터 솔루션 (Elastic) 엔지니어,경력무관,학력무관,송파구,정규직,,,DE
㈜이노케어플러스,데이터 엔지니어,경력3년↑,학력무관,서초구,정규직,,"4,000~8,000만원",DE
루덴시티㈜,[경력] Data Engineer,경력3년↑,초대졸↑,강남구,정규직,,,DE
콜로세움코퍼레이션,[Engineering] 데이터 분석가,경력3년↑,대졸↑,강남구,정규직,,,DE
루덴시티㈜,[신입] Data Engineer,신입,초대졸↑,강남구,정규직,,,DE
㈜엑심베이,Data Engineer(신입/경력),경력,학력무관,구로구,정규직,,,DE
빅웨이브로보틱스㈜,Data Platform Engineer,경력3년↑,대졸↑,강남구,정규직,,,DE
㈜메타넷티플랫폼,Data Engineer/DBA 경력,경력5년↑,초대졸↑,강남구,정규직,,,DE
메디웨일,데이터 엔지니어,경력5년↑,학력무관,강남구,정규직,,,DE
㈜레디포,플랜트 시뮬레이션 tool 사용 개발자,경력1년↑,학력무관,강서구,정규직,,"6,000~10,000만원",DE
주식회사 더 스윙,데이터 애널리틱 엔지니어,경력3년↑,학력무관,용산구,정규직,,,DE
㈜비스텔리젼스,IoT Specialist,경력5년↑,초대졸↑,서초구,정규직,,,DE
필라넷,AI엔지니어,경력3년↑,대졸↑,강남구,정규직,,,DE
㈜세종교육,"[IT취업률100프로]무료 취준생모집(국내/일본, 수도권무료숙식 제공/비전공자 가능) 국비무료교육 취업준비",신입·경력,학력무관,강남구,연수생/교육생,,,DE
엠비씨(MBC)아카데미 컴퓨터교육센터,"[서울/경기] 수강료 0원 무료 취업교육생 과정모집(인공지능AI,빅데이터,풀스택,웹디자인,게임,메타버스)",신입·경력,고졸↑,관악구,연수생/교육생,,,DE
휴먼교육센터,[국비무료/기숙사무료] 파이썬/데이터분석/인공지능/풀스택(무료숙식제공),신입·경력,학력무관,영등포구,연수생/교육생,,,DE
대한상공회의소 서울기술교육센터,"반도체설계/검증 엔지니어, AI시스템반도체 SW개발자 교육생 모집",경력무관,초대졸↑,강서구,연수생/교육생,,,DE
kt ds University,풀스택 웹 애플리케이션 개발 전문가 양성과정,경력무관,초대졸↑,서초구,연수생/교육생,,,DE
한국ICT인재개발원,[국비무료IT취업교육]JAVA웹앱/프론트엔드/백엔드/풀스택/빅데이터/인공지능 외 자바개발자취업교육과정/준,신입·경력,고졸↑,연수생/교육생,,,,DE
㈜미래엔,데이터 엔지니어 채용,경력,서초구,정규직,,,,DE
㈜빅밸류,[빅밸류] Data Architect 모집,경력무관,학력무관,중구,정규직,사원급,,DE
㈜팬코,IT 프로그램 개발/관리 경력사원 채용,경력2년↑,학력무관,성동구,정규직,,,DE
동국시스템즈㈜,[동국시스템즈] 빅데이터 / 클라우드 솔루션개발 및 기술지원 (채용),경력3년↑,대졸↑,중구,정규직,사원급,,DE
㈜인라이플,[주4.5일근무] 데이터 분석 및 기획자 채용,경력2년↑,학력무관,구로구,정규직,,,DE
아남전자㈜,아남전자(주) 시스템 및 전산관리 담당자 모집,경력10년↑,대졸↑,구로구,정규직,,,DE
㈜토마토시스템,[(주)토마토시스템] AI데이터 분석 부문 채용(경력),경력3년↑,대졸↑,강남구,정규직,,,DE
㈜아이마켓코리아,인프라 운영 및 구축 담당 채용,경력3년↑,대졸↑,강남구,정규직,,,DE
㈜피엠그로우,[피엠그로우] 데이터 사이언티스트 채용 (전기차 배터리),경력5년↑,대졸↑,서초구,정규직,팀원,,DE
㈜제이슨,[안랩-제이슨] (경력) 빅데이터 구축 엔지니어 모집,경력5년↑,초대졸↑,마포구,정규직,,,DE
㈜유호스트,"[월16일 근무/정규직 추가채용] 클라우드 시스템 모니터링, 관제 담당 채용",신입·경력,고졸↑,마포구,정규직,,,DE
파인트리파트너스㈜,함께 성장할 분석 컨설턴트 모집합니다.,신입·경력3년↑,대졸↑,마포구,정규직,,"4,000~10,000만원",DE
파인트리파트너스㈜,함께 성장할 생성형 AI 엔지니어를 모집합니다.,신입·경력3년↑,대졸↑,마포구,정규직,,"4,000~10,000만원",DE
반프,R&D / AI Researcher,경력무관,학력무관,강남구,정규직,,,DE
㈜비투엔,[비투엔] 데이터 SI 영업 담당자 채용,경력3년↑,초대졸↑,용산구,정규직,,,DE
㈜스피랩,경력 AI 개발자 채용,경력,학력무관,강남구,정규직,,,DE
마크클라우드,데이터 분석 및 모델 개발 인턴 모집,경력무관,대졸↑,강남구,인턴,,,DE
㈜퀀텀솔루션,IT 프로젝트 기획 및 관리 ( 외국계 상주 근무 ),경력2년↑,대졸↑,강남구,정규직,,"2,800~4,000만원",DE
넛지헬스케어㈜,[캐시워크-병역특례] 데이터분석 담당 산업기능요원,경력무관,학력무관,강남구,병역특례,,,DE
펑타이그레이터차이나,[PTKOREA] 글로벌 빅데이터 플랫폼 BI 대시보드 기획/운영 (Data Analysis),경력3년↑,대졸↑,강남구,정규직,,,DE
㈜마인드에이아이,Reinforcement Learning Engineer,경력무관,석사↑,강서구,정규직,,,DE
한빛아이에이홀딩스㈜,윈도우프로그램 개발 및 디자인 인재 모십니다.,경력무관,학력무관,마포구,계약직,주임~대리급,"2,500~3,500만원",DE
㈜타임게이트,Kafka / Confluent 엔지니어(신입/경력) 채용공고,신입·경력3년↑,초대졸↑,성동구,정규직,,,DE
㈜아이넥스코퍼레이션,의료 영상분야 신입 AI개발자 채용(삼성동 근무),경력무관,대졸↑,강남구,정규직,,,DE
㈜마인드에이아이,Data Engineer,신입·경력2년↑,대졸↑,강서구,정규직,,,DE
㈜에이브랩스,데이터 분석 (Data Scientist) 채용,신입·경력,학력무관,용산구,정규직,,"3,800~9,000만원",DE
펑타이그레이터차이나,[PTKOREA] 빅데이터 플랫폼 BI 프로젝트 관리,경력3년↑,대졸↑,강남구,정규직,,,DE
(주)에프앤에프,F&F 데이터팀 팀장 경력직 채용,경력12년↑,대졸↑,강남구,정규직,,,DE
㈜인포시즈,[병역특례] AI Engineer 모집,신입,대졸↑,강남구,정규직,,,DE
㈜인딥에이아이,AI채용솔루션 프롬프트엔지니어 우수인재 모집,경력2년↑,대졸↑,강남구,정규직,주임~대리급,"3,500~4,500만원",DE
㈜에이데이타,데이터 이행/ETL 개발 PL 경력직 채용합니다.,경력,대졸↑,성동구,정규직,,,DE
쿠팡㈜,"SAP Data Migration Lead (1Y Contract, S/4 HANA)",경력7년↑,학력무관,송파구,계약직,,,DE
쿠팡㈜,"Enterprise Data Management Lead (1Y Contract, S/4 HANA)",경력7년↑,학력무관,송파구,계약직,,,DE
㈜한국정보공작소,연구소장님을 모십니다. (AI 비전시스템 개발 총괄 및 개발),경력8년↑,대졸↑,금천구,정규직,부장급,,DE
㈜온택트헬스,DevOps 채용,경력3년↑,초대졸↑,서대문구,정규직,,,DE
㈜한국정보공작소,[기업부설연구소] AI 기반 비전시스템 개발 정규직 전문연구원 모집,신입·경력1년↑,대졸↑,금천구,정규직,주임~대리급,,DE
㈜트릿지,[TRIDGE] Data Engineer (산업기능요원),경력무관,학력무관,서초구,계약직,,,DE
㈜트릿지,[TRIDGE] Data Scientist (산업기능요원),경력무관,학력무관,서초구,계약직,,,DE
㈜트릿지,[TRIDGE] ML Engineer (산업기능요원),경력무관,학력무관,서초구,계약직,,,DE
이지서티,[이지서티] 경력직 솔루션 엔지니어,경력5년↑,대졸↑,강남구,정규직,,,DE
에이플랫폼,[신입/경력] Database Engineer - Technical Solution Center,신입·경력3년↑,초대졸↑,영등포구,정규직,사원급,,DE
로민,멀티모달 AI 엔지니어 채용,경력2년↑,대졸↑,서초구,정규직,,,DE
에이플랫폼,[신입/경력] Database Engineer - Customer Support Service,신입·경력3년↑,초대졸↑,영등포구,정규직,사원급,,DE
㈜프로씨엔에스,DBA 채용(경력직),경력2년↑,학력무관,강남구,정규직,,,DE
에이플랫폼,[신입/경력] Database Engineer - R&D Center,신입·경력3년↑,초대졸↑,영등포구,정규직,사원급,,DE
㈜인젠트,"[인젠트] 데이터베이스 사업- DB엔지니어, DA, 튜너 경력 채용",경력3년↑,초대졸↑,영등포구,정규직,주임~대리급,,DE
㈜리버트론,[정규직] 소프트웨어 개발,신입·경력,대졸↑,영등포구,정규직,,,DE
㈜타임게이트,빅데이터(Splunk) 신입 엔지니어 모집,신입,초대졸↑,성동구,정규직,사원급,,DE
한국딥러닝㈜,AI 엔지니어(데이터),경력3년↑,학력무관,서초구,정규직,팀원,,DE
㈜푸드테크,㈜푸드테크 IT부문 인프라/델파이 개발자 채용,경력,학력무관,강남구,정규직,,,DE
한국딥러닝㈜,[신입/인턴] AI 프로젝트 매니저(APM),신입,학력무관,서초구,계약직,,,DE
씨앤토트㈜,데이터 분석 및 시각화 (경력),경력3년↑,고졸↑,서초구,정규직,,,DE
㈜스마트큐브,기업부설연구소 책임/선임연구원 채용,경력5년↑,대졸↑,마포구,정규직,주임~대리급,,DE
㈜조인아이티,"Si(공공.통계분야.etl)/남부터미널근처/즉시-25.02.28/고급/etl,반프리/",경력6년↑,학력무관,서초구,계약직,,,DE
디비투이,"[정규직 DBA 채용 ] 중급 DBA ( Oracle, PstgreSQL ) 채용",경력3년↑,초대졸↑,서초구,정규직,,,DE
㈜골드나인디에스,금융기관 외상매출채권 담보대출 개발자 모집,경력6년↑,학력무관,강남구,정규직,주임~대리급,450~700만원(월),DE
한국비앤에스시스템(주),"DW,BI-OLAP 개발 정규직 모집 공고",신입·경력2년↑,초대졸↑,금천구,정규직,사원급,,DE
㈜솔메딕스,[㈜솔메딕스] 2024년 각 부문별 경력채용,경력2년↑,고졸↑,마포구,정규직,,,DE
㈜퀀텀에이아이,[AI SaaS 기업] 인공지능 R&D 연구원 모집,경력무관,대졸↑,중구,정규직,팀원,,DE
㈜기어세컨드,데이터 엔지니어(DE) 채용,경력3년↑,학력무관,마포구,정규직,사원급,"4,000~8,000만원",DE
㈜고픽커뮤니케이션,[고픽커뮤니케이션] 스포츠 데이터 사이언티스트,경력5년↑,학력무관,성동구,정규직,과장~차장급,,DE
씨앤토트㈜,"빅데이터 분석 시스템 모델러, 데이터 아키텍트 (DA) 모집 (경력)",경력5년↑,고졸↑,서초구,정규직,,,DE
㈜비투엔,[비투엔] 데이터 표준 및 데이터 품질 관리 컨설턴트 채용,신입·경력1년↑,대졸↑,용산구,정규직,,,DE
㈜모비릭스,[모비릭스] 게임DATA팀 데이터 분석 경력직 모집,경력1년↑,학력무관,금천구,정규직,사원급,,DE
피플리,[피플리] Data Scientist 경력직 채용(5년이상),경력5년↑,학력무관,마포구,정규직,,,DE
㈜에이틴에이치,근무시간 짧음) 앱개발자 모집 공고,경력2년↑,학력무관,강남구,정규직,,,DE
㈜조인아이티,"Si(손보사 빅데이터 처리시스템 개발)/당산역근처/25.02-25.12/중급,2명/",경력6년↑,학력무관,영등포구,계약직,,,DE
㈜컨피테크,금융권 개발 경력자 모십니다.,경력,학력무관,영등포구,정규직,사원급,"4,000~10,000만원",DE
행복쇼핑 주식회사,"[재택근무] REACT, PHP, PYTHON 개발자 모집",경력3년↑,초대졸↑,양천구,정규직,,,DE
㈜데이터위버,[신입] NLP LLM 연구원,신입,대졸↑,금천구,정규직,사원급,"4,000~4,500만원",DE
㈜비투엔,[비투엔] 데이터 컨설팅 및 구축 사업 포지션별 담당자 채용,경력10년↑,대졸↑,용산구,정규직,,,DE
㈜오픈메이트,"[오픈메이트] 데이터엔지니어, 데이터모델러, DW, ETL 직무 인재 모집(정규)",경력2년↑,학력무관,중구,정규직,,,DE
㈜엠폴,(주)엠폴 AI데이터 사이언티스트 모집합니다.,경력5년↑,학력무관,강서구,정규직,,,DE
㈜비투엔,[비투엔] 솔루션 엔지니어 담당자 채용,신입·경력1년↑,대졸↑,용산구,정규직,사원급,,DE
㈜인포시즈,[경력] Graph Engineer 모집,경력3년↑,석사↑,강남구,정규직,,,DE
㈜인포시즈,[경력] AI Engineer 모집,경력3년↑,석사↑,강남구,정규직,,,DE
㈜씨에스리,[아키텍처팀] JAVA 개발자 모집(Python 연계/SM/SI),경력5년↑,초대졸↑,마포구,정규직,,,DE
㈜인포시즈,[신입/경력무관] AI Engineer 모집,신입,석사↑,강남구,정규직,,,DE
웨이센,이미지/비디오 데이터 검수 및 태깅,경력무관,학력무관,강남구,계약직,,,DE
콘센트릭스서비스코리아(유),데이터엔지니어,경력1년↑,학력무관,강남구,정규직,,,DE
효성ITX㈜,[효성ITX] 챗봇/음성봇 구축 PM(경력),경력무관,대졸↑,영등포구,정규직,,,DE
이지서티,[이지서티] 신입 솔루션 엔지니어,신입,대졸↑,강남구,정규직,,,DE
효성ITX㈜,[효성ITX] 콜 인프라 및 AICC구축 PM(경력),경력무관,대졸↑,영등포구,정규직,,,DE
마크클라우드,"AI 개발(Python), 데이터 분석 및 사업 기획 신규/경력 모집 - 정규직",신입·경력,대졸↑,강남구,정규직,,,DE
효성ITX㈜,[효성ITX] 웹 퍼블러셔 및 프론트엔드 개발(경력),경력3년↑,대졸↑,영등포구,정규직,,,DE
㈜뉴로라인즈,웹 서비스 JAVA 개발자(경력) 모집,경력5년↑,학력무관,마포구,정규직,과장~차장급,,DE
㈜엠폴,(주)엠폴 R&D 연구소장 채용합니다.,경력5년↑,학력무관,강서구,정규직,,,DE
디딤365㈜,SI 프로젝트 PM 채용,경력10년↑,대졸↑,구로구,정규직,,,DE
원프레딕트,Data Platform Engineer(전문연구요원),경력무관,석사↑,강남구,정규직,,,DE
탑클릭,[경기/부천] 웹기획 정규직 채용,경력3년↑,대졸↑,강서구,정규직,이상,"4,000만원",DE
㈜트릿지,[TRIDGE] Lead of PM (PM 총괄),경력8년↑,학력무관,서초구,정규직,,,DE
㈜동인코퍼레이션,BI/OLAP 엔지니어 채용,경력2년↑,초대졸↑,송파구,정규직,팀원,,DE
㈜기어세컨드,데이터 분석가 채용,경력무관,학력무관,마포구,정규직,사원급,"4,000~8,000만원",DE
㈜두들린,[그리팅] Data Engineer - 3년 이상,경력3년↑,학력무관,강남구,정규직,,,DE
㈜미리디,[미리디] 데이터 엔지니어,경력2년↑,학력무관,구로구,정규직,,,DE
에이스올루션글로벌㈜,안드로이드 테스트 엔지니어 모집,경력2년↑,학력무관,성동구,계약직,,520~800만원(월),DE
바이온사이트,Senior Platform-Infra Engineer 채용,경력5년↑,석사↑,성동구,정규직,,"4,000~12,000만원",DE
㈜크라우드웍스,[크라우드웍스] 병특/전문연구요원 전형) 서비스개발실 AI-Software engine,경력무관,석사↑,강남구,병역특례,,,DE
